ad_typology_Value,ad_price,ad_area,ad_builttype_Value,ad_roomnumber,ad_bathnumber,ad_haslift,ad_hasswimmingpool,ad_hasheating,ad_hasterrace,ad_hasparkingspace,ad_hasairconditioning,ad_hasgarden,ad_district_Eixample,ad_district_Gràcia,ad_district_Horta Guinardó,ad_district_Les Corts,ad_district_Nou Barris,ad_district_Sant Andreu,ad_district_Sant Martí,ad_district_Sants-Montjuïc,ad_district_Sarrià-Sant Gervasi
0,220000,97,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,69000,35,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,220000,73,1,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,480000,101,2,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,370000,88,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,245000,77,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,415000,100,1,4,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
0,179900,93,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,259000,62,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,175000,65,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,189000,71,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,390000,162,1,2,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
0,394000,100,1,4,2,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
0,325000,73,2,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,335000,103,2,4,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,240000,75,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0,145000,53,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,225000,72,1,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,310000,89,1,3,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
0,79000,40,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,340000,76,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,265000,87,1,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,215000,70,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,300000,90,1,4,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,155000,30,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,235000,54,1,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,250000,60,1,3,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
0,239000,107,2,4,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,379000,101,2,4,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,210000,70,1,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,175000,43,2,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0,200000,71,1,3,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
0,110000,50,1,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,179000,82,1,3,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
0,110000,55,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,190000,67,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,220000,55,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,375000,204,1,3,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,400000,87,2,3,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
0,399000,87,1,2,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0
0,250000,59,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,290000,81,1,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,325000,76,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,240000,88,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,465000,110,1,5,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,490000,143,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
